price_level,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,food,service,atmosphere,excellent,location,awards,cuisine,top_tag
€€-€€€,Y,N,6.0,4.5,103,4.5,4.0,,4,Barcelona,"Certificate of Excellence 2019, Certificate of Excellence 2018",Japanese,Mid-range
€€-€€€,Y,Y,6.0,3.5,110,4.0,3.5,,21,Barcelona,,Cafe,Mid-range
€€€€,Y,N,7.0,3.5,150,4.0,4.0,,3,Barcelona,,International,Fine Dining
€€-€€€,N,Y,7.0,4.0,137,3.5,3.5,,0,Barcelona,Certificate of Excellence 2019,Mediterranean,Mid-range
€€-€€€,N,N,6.0,4.0,279,4.0,4.0,4.0,17,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",Seafood,Mid-range
€€-€€€,N,Y,,4.0,188,4.5,4.0,,8,Barcelona,,Japanese,Mid-range
€€€€,N,Y,5.0,4.0,287,4.5,4.0,,38,Barcelona,"Michelin 2021 for The Michelin Plate: Good cooking, Michelin 2021 for Comfortable restaurant",Seafood,Fine Dining
€,Y,Y,6.0,4.5,155,4.5,4.5,,18,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Asian,Cheap Eats
€€-€€€,Y,Y,5.0,4.5,590,4.5,4.5,,181,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Spanish,Mid-range
€€-€€€,Y,N,7.0,4.5,151,4.5,4.0,,16,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018",Lebanese,Mid-range
€€-€€€,Y,Y,6.0,4.5,130,4.5,4.5,,8,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",International,Mid-range
€,N,N,6.0,4.0,925,4.5,4.0,4.5,156,Barcelona,"Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013",Cafe,Cheap Eats
€,Y,N,,4.5,299,4.5,4.5,,64,Barcelona,,Latin,Cheap Eats
€€-€€€,Y,Y,6.0,4.5,257,4.0,4.5,,18,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Asian,Mid-range
€€-€€€,Y,N,7.0,3.0,224,3.5,3.0,4.0,15,Barcelona,,Cafe,Mid-range
€€-€€€,N,N,7.0,4.5,291,4.5,4.5,,92,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",Bar,Mid-range
€€-€€€,Y,N,7.0,4.5,835,4.5,4.5,4.5,130,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013",Italian,Mid-range
€€-€€€,Y,Y,7.0,4.0,106,4.0,4.0,,15,Barcelona,Certificate of Excellence 2019,Healthy,Mid-range
€€-€€€,Y,Y,6.0,4.5,147,4.5,4.5,,23,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Japanese,Mid-range
€€-€€€,N,N,7.0,4.0,733,3.5,4.0,4.5,184,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2014, Certificate of Excellence 2013",Bar,Mid-range
€€-€€€,N,N,7.0,4.5,3780,4.5,4.5,4.0,1071,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",,Mid-range
€€-€€€,Y,Y,7.0,4.5,416,4.5,4.5,,92,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Mediterranean,Mid-range
€,Y,Y,7.0,4.5,246,4.5,4.5,,42,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Mexican,Cheap Eats
€€-€€€,Y,Y,5.0,4.5,106,4.5,4.5,,23,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Asian,Mid-range
€€-€€€,Y,Y,,4.5,185,4.5,4.5,,18,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Mediterranean,Mid-range
