"price_level";"vegan_options";"awards";"gluten_free";"cuisines";"original_location";"open_days_per_week";"avg_rating";"total_reviews_count";"food";"service";"atmosphere";"excellent";"meals"
"€€-€€€";"N";"Not Awarded";"N";"Mediterranean, European, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";NA;4;172;4;4;4;12;"Lunch, Dinner, Brunch"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"International, European, Contemporary, Fusion, Gastropub, Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";6;4.5;334;4.5;4.5;4;24;""
"€€-€€€";"Y";"Certificate of Excellence 2019";"Y";"Italian, Pizza, Mediterranean, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";NA;4;126;4;4;4;2;""
"€€-€€€";"N";"Certificate of Excellence 2020";"Y";"Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";6;4.5;101;4.5;4.5;4;2;""
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Italian, Japanese, Mediterranean, Sushi, European, Spanish, Asian, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";6;4;561;4;4;4;16;"Lunch, Dinner, After-hours"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, European, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";6;4;224;4;4;4;12;"Breakfast, Lunch, Dinner, Drinks"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, European, Spanish, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";7;4;367;4.5;4.5;4.5;29;""
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, European, Spanish, Diner, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";6;4;261;4;4.5;4;15;""
"€€€€";"Y";"Not Awarded";"N";"Spanish, Mediterranean, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";6;4.5;309;4.5;4.5;4;41;""
"€€€€";"N";"Certificate of Excellence 2019";"Y";"Mediterranean, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";7;4.5;138;4.5;4;4;5;"Dinner, After-hours, Lunch"
"€€-€€€";"N";"Not Awarded";"N";"Italian, Pizza";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";7;3.5;149;4;3.5;3;3;""
"€€€€";"N";"Certificate of Excellence 2019";"Y";"Spanish, Mediterranean, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";6;4.5;282;4.5;4.5;4.5;26;""
"€€-€€€";"N";"Certificate of Excellence 2020";"N";"Italian, Pizza, Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";7;4;151;4;3.5;4;2;""
"€€-€€€";"N";"Certificate of Excellence 2020";"Y";"Italian, Pizza, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";NA;4.5;167;4.5;4.5;4;1;"Lunch, Dinner"
"€€-€€€";"N";"Certificate of Excellence 2020";"Y";"Steakhouse, Latin, Argentinian, Barbecue";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";6;4.5;237;4.5;4.5;4;8;""
"€€-€€€";"Y";"Certificate of Excellence 2017";"Y";"Spanish, Mediterranean, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vilafranca del Penedes\"]";6;4;128;4;4;3.5;0;"Lunch, Dinner"
